Mobiliario,Mobiliario,SILLON EJECUTIVO RESPALDO MEDIO COLOR NEGRO. ND 13/2002. ALTA 02 AGOSTO 2002,,,,,
Mobiliario,Mobiliario,PINTARRON 60X90 (ALTA 20 ENE 1999 MARCA ALFRA).,,,,,
Equipo,Equipo,"MONITOR DE COLOR HP DE 15"", N.D. 017/2002 ALTA 07 OCTUBRE 2002",,,,,
Mobiliario,Mobiliario,"CESTO DE BASURA ALUMINIO N.D. 007/2005, ALTA 31 AGOSTO 2005",,,,,
Transporte,Transporte,"AUTOMOVIL FORD ESCORT 1998, PLACAS: HZG1129, NO. SERIE: 3FABP1136WR109452, NO. MOTOR: S/N, NO. ECONÓ",,,,,
Equipo,Equipo,"TRITURADORA DE DOCUMENTOS. ALTA 13 SEP 2006, N.D. 07/2006",,,,,
Mobiliario,Mobiliario,SILLON P/SALA RECEPCION.(SILLON FIJO III PLAZAS TELA VERDE) ALTA 04 FEB 2002 N.D. 005/2002,,,,,
Equipo,Equipo,REGULADOR TDE S/N: 16030085976,,,,,
Equipo,Equipo,IDENTIFICADOR DE LLAMADAS,,,,,
Mobiliario,Mobiliario,MESA PARA IMPRESORA CON MEDIDA DE .80 DE FRENTE X .50 DE ANCHO X .75 DE ALTURA CON PUERTAS SIN CERRA,,,,,
Equipo,Equipo,"TELEFONO CORDLESS DECT/GAT HANSET-MOBILE 100 REFLEXES FOR OFFICE USE, DELIVERED, WITHOUT CHARGER",,,,,
Mobiliario,Mobiliario,"PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO,1 CAJON PARA INST. EN LATERALES, EN ESQUINERO, EN 2 GRAPAS",,,,,
Equipo,Equipo,FAX TELEFONO,,,,,
Equipo,Equipo,"COMPUTADORA COMPLETA CON QUEMADORCPU MULTIMEDIA CON QUEMADOR 530 KINCLUYE: MONITOR, TECLADO Y MO",,,,,
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL DE 3 GAVETAS,,,,,
Equipo,Equipo,C.P.U. PENTIUM,,,,,
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA C/5 CAJONES DE .80X1.77 S/M, S/M, S/N. SERIE",,,,,
Mobiliario,Mobiliario,ESCRITORIO GRAPA 1.26 CMS. BERLIN CAOBA,,,,,
Equipo,Equipo,"EXTINGUIDOR, MARCA ANSUL SENTRY, MODELO 435, S/N SERIE",,,,,
Equipo,Equipo,"PANEL DE TONOS, INSTALADO EN EL EDIFICIO CULTURAL Y ADMINISTRATIVO",,,,,
Equipo,Equipo,"ANTENA DIPOLOS OMNI DIRECCIONAL, INSTALADA EN EL CERRO DEL CUATRO",,,,,
Equipo,Equipo,"VIDEO CASETERA, FORMATO VHS DE 4 CABEZAS",,,,,
Mobiliario,Mobiliario,SILLA SECRETARIAL CON RODAJAS Y CODERAS,,,,,
