Tipo,Subtipo,Descripcion,Descripcion_Limpia
Mobiliario,Mobiliario,SILLON EJECUTIVO RESPALDO MEDIO COLOR NEGRO. ND 13/2002. ALTA 02 AGOSTO 2002,"['sillon', 'ejecutivo', 'respaldo', 'medio', 'color', 'negro', 'nd', 'alta', 'agosto']"
Mobiliario,Mobiliario,PINTARRON 60X90 (ALTA 20 ENE 1999 MARCA ALFRA).,"['pintarron', 'alta', 'ene', 'marca', 'alfra']"
Equipo,Equipo,"MONITOR DE COLOR HP DE 15"", N.D. 017/2002 ALTA 07 OCTUBRE 2002","['monitor', 'color', 'hp', 'nd', 'alta', 'octubre']"
Mobiliario,Mobiliario,"CESTO DE BASURA ALUMINIO N.D. 007/2005, ALTA 31 AGOSTO 2005","['cesto', 'basura', 'aluminio', 'nd', 'alta', 'agosto']"
Transporte,Transporte,"AUTOMOVIL FORD ESCORT 1998, PLACAS: HZG1129, NO. SERIE: 3FABP1136WR109452, NO. MOTOR: S/N, NO. ECONÓ","['automovil', 'ford', 'escort', 'placas', 'hzg', 'serie', 'fabpwr', 'motor', 'sn', 'econ']"
Equipo,Equipo,"TRITURADORA DE DOCUMENTOS. ALTA 13 SEP 2006, N.D. 07/2006","['trituradora', 'documentos', 'alta', 'sep', 'nd']"
Mobiliario,Mobiliario,SILLON P/SALA RECEPCION.(SILLON FIJO III PLAZAS TELA VERDE) ALTA 04 FEB 2002 N.D. 005/2002,"['sillon', 'psala', 'recepcionsillon', 'fijo', 'iii', 'plazas', 'tela', 'verde', 'alta', 'feb', 'nd']"
Equipo,Equipo,REGULADOR TDE S/N: 16030085976,"['regulador', 'tde', 'sn']"
Equipo,Equipo,IDENTIFICADOR DE LLAMADAS,"['identificador', 'llamadas']"
Mobiliario,Mobiliario,MESA PARA IMPRESORA CON MEDIDA DE .80 DE FRENTE X .50 DE ANCHO X .75 DE ALTURA CON PUERTAS SIN CERRA,"['mesa', 'impresora', 'medida', 'frente', 'ancho', 'altura', 'puertas', 'cerra']"
Equipo,Equipo,"TELEFONO CORDLESS DECT/GAT HANSET-MOBILE 100 REFLEXES FOR OFFICE USE, DELIVERED, WITHOUT CHARGER","['telefono', 'cordless', 'dectgat', 'hansetmobile', 'reflexes', 'for', 'office', 'use', 'delivered', 'without', 'charger']"
Mobiliario,Mobiliario,"PEDESTAL SUSPENDIDO CON 1 CAJON PAPELERO,1 CAJON PARA INST. EN LATERALES, EN ESQUINERO, EN 2 GRAPAS","['pedestal', 'suspendido', 'cajon', 'papelero', 'cajon', 'inst', 'laterales', 'esquinero', 'grapas']"
Equipo,Equipo,FAX TELEFONO,"['fax', 'telefono']"
Equipo,Equipo,"COMPUTADORA COMPLETA CON QUEMADORCPU MULTIMEDIA CON QUEMADOR 530 KINCLUYE: MONITOR, TECLADO Y MO","['computadora', 'completa', 'quemadorcpu', 'multimedia', 'quemador', 'kincluye', 'monitor', 'teclado', 'mo']"
Mobiliario,Mobiliario,ARCHIVERO HORIZONTAL DE 3 GAVETAS,"['archivero', 'horizontal', 'gavetas']"
Equipo,Equipo,C.P.U. PENTIUM,"['cpu', 'pentium']"
Mobiliario,Mobiliario,"ESCRITORIO EJECUTIVO DE MADERA C/5 CAJONES DE .80X1.77 S/M, S/M, S/N. SERIE","['escritorio', 'ejecutivo', 'madera', 'c', 'cajones', 'sm', 'sm', 'sn', 'serie']"
Mobiliario,Mobiliario,ESCRITORIO GRAPA 1.26 CMS. BERLIN CAOBA,"['escritorio', 'grapa', 'cms', 'berlin', 'caoba']"
Equipo,Equipo,"EXTINGUIDOR, MARCA ANSUL SENTRY, MODELO 435, S/N SERIE","['extinguidor', 'marca', 'ansul', 'sentry', 'modelo', 'sn', 'serie']"
